gene_id,omega,dN,dS
g14514_CDS4,0.07555,0.0087,0.1149
g14731_CDS18,0.0001,0.0,0.0
g14731_CDS21,0.0001,0.0,0.0
g14707_CDS2,372.28411,0.0,0.0
g14423_CDS1,999.0,0.0046,0.0
g14772_CDS1,4.41917,38.3584,8.68
g14642_CDS1,0.4321,0.0,0.0
g14519_CDS1,999.0,0.0041,0.0
g14922_CDS2,0.0001,0.0,0.0
g14741_CDS1,0.52714,0.0,0.0
g15034_CDS5,0.0001,0.0,0.0
g14866_CDS2,0.50254,0.0,0.0
g14743_CDS7,0.51449,0.0,0.0
g14734_CDS3,0.54169,0.0,0.0
g15030_CDS1,0.0001,0.0,0.0
g14578_CDS5,0.42826,0.0,0.0
g14557_CDS4,0.0001,0.0,0.0
g14335_CDS4,0.47067,0.0,0.0
g14310_CDS1,0.0001,0.0,0.0079
g15011_CDS2,0.52367,0.0,0.0
g14810_CDS1,0.0001,0.0,0.0078
g15012_CDS12,0.0001,0.0,0.0
g14346_CDS13,0.46657,0.0,0.0
g14924_CDS1,0.0001,0.0,0.0
g14740_CDS1,0.0001,0.0,0.0
g14429_CDS9,0.0001,0.0,0.0197
g14733_CDS7,0.0001,0.0,0.0
g14463_CDS5,0.55441,0.0,0.0
g14689_CDS1,0.0001,0.0,0.0
g14550_CDS7,0.0001,0.0,0.0061
g14780_CDS2,0.4844,0.0,0.0
g14422_CDS3,999.0,0.0022,0.0
g14362_CDS1,999.0,0.0014,0.0
g14314_CDS4,0.51815,0.0,0.0
g14543_CDS3,521.98279,0.0,0.0
g14556_CDS2,0.54898,0.0,0.0
g14428_CDS1,4.74996,6.6902,1.4085
g14743_CDS21,0.0001,0.0,0.0
g14395_CDS1,0.50589,0.0,0.0
g14794_CDS3,0.49125,0.0,0.0
g14881_CDS10,0.48179,0.0,0.0
g15034_CDS6,0.52476,0.0,0.0
g14822_CDS3,0.52262,0.0,0.0
g14497_CDS2,1.25532,0.0,0.0
g14911_CDS1,0.28363,0.0037,0.0129
g14869_CDS1,999.0,0.0,0.0
g14495_CDS2,0.0001,0.0,0.0
g14398_CDS1,0.81186,0.0197,0.0242
g14727_CDS1,0.46796,0.0,0.0
g14952_CDS7,0.55039,0.0,0.0
g14373_CDS2,0.51066,0.0,0.0
g14329_CDS1,0.0001,0.0,0.0
g14708_CDS1,0.52382,0.0,0.0
g14725_CDS7,0.50267,0.0,0.0
g14461_CDS1,999.0,0.002,0.0
g14550_CDS6,0.0001,0.0,0.0
g14943_CDS8,2.07456,0.0,0.0
g14813_CDS1,0.50397,0.0,0.0
g14768_CDS1,0.53157,0.0,0.0
g14399_CDS1,0.25577,0.0428,0.1672
g14380_CDS10,999.0,0.0,0.0
g14376_CDS1,0.0001,0.0,0.0
g14359_CDS1,0.17161,0.0,0.0
g14712_CDS1,154.08436,0.0,0.0
g14453_CDS1,0.53064,0.0,0.0
g14497_CDS19,0.0001,0.0,0.0
g14801_CDS1,0.0001,0.0,0.0
g14457_CDS1,0.0001,0.0,0.0507
g14749_CDS7,1.23936,0.0,0.0
g14933_CDS1,0.47347,0.0,0.0
g15023_CDS1,0.12217,0.0,0.0
g14996_CDS2,0.30691,0.0,0.0
g14541_CDS1,0.50594,0.0,0.0
g14430_CDS2,0.50849,0.0,0.0
g14930_CDS1,0.0001,0.0,0.0
g14313_CDS2,0.48648,0.0,0.0
g14735_CDS1,0.51326,0.0,0.0
g14376_CDS2,0.47108,0.0,0.0
g14952_CDS6,0.0001,0.0,0.0
g14498_CDS6,0.54853,0.0113,0.0207
g14747_CDS1,0.12267,2.0045,16.3404
g14313_CDS8,717.0972,0.0152,0.0
g14969_CDS1,0.0001,0.0,0.0
g15037_CDS1,0.0001,0.0,0.0
g14696_CDS4,0.4633,0.0,0.0
g14758_CDS6,999.0,0.0,0.0
g14329_CDS10,0.46505,0.0,0.0
g15030_CDS3,0.0001,0.0,0.0
g14476_CDS1,0.0001,0.0,0.0
g14318_CDS3,0.11927,0.0152,0.1271
g14898_CDS10,0.0001,0.0,0.0
g14756_CDS5,379.7631,0.0,0.0
g15006_CDS1,0.0001,0.0,0.0023
g14325_CDS4,0.0001,0.0,0.0
g14652_CDS1,0.0001,0.0,0.0
g14359_CDS2,0.5265,0.0,0.0
g14718_CDS1,0.0001,0.0,0.0
g14956_CDS2,0.52726,0.0,0.0
g14954_CDS1,999.0,0.0037,0.0
g14696_CDS2,0.4638,0.0,0.0
g14520_CDS1,0.0001,0.0,0.0
g14738_CDS1,999.0,0.0029,0.0
g14477_CDS8,0.0001,0.0,0.0
g14653_CDS3,0.0001,0.0,0.0
g14743_CDS15,0.53594,0.0,0.0
g14381_CDS17,0.48406,0.0,0.0
g14915_CDS3,0.52243,0.0,0.0
g14876_CDS4,0.55929,0.0,0.0
g15023_CDS4,0.2068,0.0,0.0
g14335_CDS7,0.0001,0.0,0.0
g14335_CDS8,0.0001,0.0,0.0
g14427_CDS13,0.4112,0.0616,0.1498
g14970_CDS3,0.0001,0.0,0.0
g14495_CDS3,0.00879,0.0,0.0
g14356_CDS1,0.50368,0.0,0.0
g14352_CDS1,0.0001,0.0,0.0
g14525_CDS7,0.28869,0.0113,0.0392
g14352_CDS3,0.53394,0.0,0.0
g14941_CDS1,0.0001,0.0,0.0
g14424_CDS1,999.0,0.011,0.0
g14804_CDS2,1.82336,0.0,0.0
g14416_CDS2,0.0001,0.0,0.0308
g14687_CDS1,785.76314,0.0,0.0
g14794_CDS8,0.0001,0.0,0.0
g14334_CDS1,0.07069,0.0,0.0
g14868_CDS4,0.38193,0.0,0.0
g14893_CDS6,0.21868,0.0,0.0
g14466_CDS1,0.54692,0.0,0.0
g14333_CDS2,0.5188,0.0,0.0
g14820_CDS2,0.49217,0.0,0.0
g14404_CDS1,999.0,0.0026,0.0
g14695_CDS4,0.01098,3.3319,303.379
g14932_CDS1,0.0001,0.0,0.0
g14650_CDS3,0.4699,0.0,0.0
g14463_CDS4,0.54226,0.0,0.0
g14649_CDS1,0.0001,0.0,0.0047
g14380_CDS2,0.0001,0.0,0.0
g14794_CDS6,0.72657,0.0,0.0
g14780_CDS1,999.0,0.0112,0.0
g14526_CDS2,4.30823,0.0,0.0
g14322_CDS1,0.42105,0.0,0.0
g14380_CDS4,0.0001,0.0,0.0
g14719_CDS3,0.49153,0.0,0.0
g15037_CDS4,0.53701,0.0,0.0
g14758_CDS10,0.66998,0.0,0.0
g14957_CDS1,0.0001,0.0,0.0028
g14994_CDS1,0.67504,0.0,0.0
g14470_CDS1,0.47392,0.0,0.0
g14436_CDS2,1.20512,0.1478,0.1226
g15034_CDS4,0.0001,0.0,0.0
g14769_CDS2,0.0001,0.0,0.0
g14316_CDS2,0.0001,0.0,0.0
g14707_CDS3,0.0001,0.0,0.0
g14761_CDS1,0.29648,0.0873,0.2944
g14509_CDS1,0.34804,1.8441,5.2987
g14440_CDS2,999.0,0.0,0.0
g14817_CDS1,0.0001,0.0,0.0019
g14703_CDS1,0.53199,0.0,0.0
g14373_CDS5,0.95558,0.0,0.0
g14694_CDS1,0.0001,0.0,0.0
g14994_CDS5,0.0001,0.0,0.0
g14357_CDS1,0.55405,0.0,0.0
g14994_CDS3,0.50354,0.0,0.0
g14329_CDS8,0.42179,0.0,0.0
g14345_CDS9,0.46791,0.0,0.0
g14738_CDS6,0.5496,0.0,0.0
g14900_CDS5,0.0001,0.0,0.0
g14572_CDS1,999.0,0.0098,0.0
g14822_CDS4,0.36047,0.0043,0.0119
g14758_CDS3,0.46619,0.0,0.0
g14994_CDS10,0.0001,0.0,0.0082
g14867_CDS4,0.53448,0.0,0.0
g14373_CDS12,0.49202,0.0,0.0
g14877_CDS1,0.0001,0.0,0.0
g14373_CDS1,0.0001,0.0,0.0
g14520_CDS4,0.0001,0.0,0.0232
g14793_CDS1,110.31991,0.003,0.0
g14890_CDS1,0.0001,0.0,0.0283
g14956_CDS8,0.50997,0.0,0.0
g14743_CDS23,0.55401,0.0,0.0
g14805_CDS1,0.7549,0.0539,0.0714
g14326_CDS2,0.567,0.0,0.0
g14359_CDS4,0.0001,0.0,0.0
g14477_CDS3,0.0001,0.0,0.0
g14951_CDS9,0.0001,0.0,0.0
g14689_CDS3,0.53562,0.0,0.0
g14344_CDS4,0.62728,0.0,0.0
g14570_CDS1,999.0,0.0057,0.0
g14441_CDS2,0.0001,0.0,0.0
g14548_CDS3,999.0,0.0236,0.0
g14313_CDS6,0.0001,0.0,0.0
g14477_CDS12,0.58328,0.0,0.0
g14941_CDS2,0.51983,0.0,0.0
g14736_CDS6,0.0001,0.0,0.0375
g14396_CDS3,43.50007,0.0046,0.0001
g14445_CDS1,0.46514,0.0,0.0
g14533_CDS2,999.0,0.0042,0.0
g14530_CDS3,0.0001,0.0,0.0
g14820_CDS1,0.0001,0.0,0.0
g14498_CDS4,0.0001,0.0,0.0475
g14513_CDS1,999.0,0.0058,0.0
g14871_CDS3,0.0001,0.0,0.0
g14526_CDS4,0.4752,0.0,0.0
g14743_CDS5,0.48013,0.0,0.0
g14910_CDS1,0.44467,0.0064,0.0145
g14813_CDS4,0.49362,0.0,0.0
g14532_CDS2,0.0001,0.0,0.0
g14356_CDS9,0.0001,0.0,0.0
g15012_CDS2,0.6517,1.8258,2.8015
g14514_CDS3,999.0,0.0199,0.0
