"chr" "dist_center" "syntheny" "breakpoints" "genes" "re" "dante" "recomb" "ltr" "ty1_copia" "ty3_gypsy" "dna_trans" "line" "unknown" "sine" "trc" "trc1" "gc"
"scaffold_6.68" "scaffold_6" "0.1380785" "rearranged" "conserved" "8" "216" "3" "1.17183989953751e-06" "0" "0" "0" "0" "0" "114" "0" "0" "0" "0.32736"
"scaffold_6.69" "scaffold_6" "0.038081" "rearranged" "conserved" "6" "179" "4" "1.17183989953751e-06" "0" "0" "0" "0" "0" "100" "0" "0" "0" "0.327087"
"scaffold_6.70" "scaffold_6" "0.0619165" "rearranged" "conserved" "10" "187" "15" "1.17183989953751e-06" "7" "2" "0" "0" "0" "103" "0" "0" "0" "0.33477"
"scaffold_6.71" "scaffold_6" "0.161914" "rearranged" "conserved" "11" "211" "1" "1.17183989953751e-06" "0" "0" "0" "0" "0" "102" "1" "0" "0" "0.330937"
"scaffold_6.72" "scaffold_6" "0.2619115" "rearranged" "conserved" "8" "243" "3" "1.17183989953751e-06" "0" "0" "0" "0" "0" "130" "0" "0" "0" "0.310419"
"scaffold_6.73" "scaffold_6" "0.3619085" "rearranged" "conserved" "6" "224" "10" "1.17183989953751e-06" "1" "1" "0" "0" "0" "137" "0" "0" "0" "0.32301"
"scaffold_6.74" "scaffold_6" "0.461906" "rearranged" "conserved" "5" "186" "3" "1.17183989953751e-06" "0" "0" "0" "1" "0" "102" "0" "0" "0" "0.329507"
"scaffold_6.75" "scaffold_6" "0.5619035" "rearranged" "conserved" "4" "147" "9" "1.17183989953751e-06" "0" "0" "0" "1" "0" "83" "0" "1" "1" "0.34744"
"scaffold_6.76" "scaffold_6" "0.661901" "rearranged" "conserved" "8" "186" "5" "1.17183989953751e-06" "1" "0" "1" "0" "0" "97" "0" "0" "0" "0.347737"
"scaffold_6.77" "scaffold_6" "0.7618985" "rearranged" "conserved" "10" "186" "6" "1.17183989953751e-06" "1" "0" "1" "1" "0" "102" "0" "0" "0" "0.34186"
"scaffold_6.78" "scaffold_6" "0.861896" "rearranged" "conserved" "6" "224" "5" "1.17183989953751e-06" "0" "0" "0" "0" "0" "125" "0" "0" "0" "0.305736"
"scaffold_6.79" "scaffold_6" "0.9618935" "rearranged" "conserved" "10" "170" "8" "5.41921469335087e-05" "1" "1" "0" "1" "0" "87" "0" "0" "0" "0.33845"
"scaffold_6.80" "scaffold_6" "1.0618905" "rearranged" "conserved" "6" "207" "13" "2.53958040134548e-05" "3" "1" "0" "0" "0" "118" "1" "0" "0" "0.33542"
"scaffold_6.81" "scaffold_6" "1.161888" "rearranged" "conserved" "6" "197" "7" "1.35345948657647e-06" "1" "1" "0" "1" "0" "118" "0" "0" "0" "0.323866"
"scaffold_6.82" "scaffold_6" "1.2618855" "rearranged" "conserved" "12" "139" "15" "1.35345948657647e-06" "1" "1" "0" "1" "0" "65" "0" "0" "0" "0.33783"
"scaffold_6.83" "scaffold_6" "1.361883" "rearranged" "conserved" "13" "187" "6" "1.35345948657647e-06" "1" "0" "1" "0" "0" "114" "0" "0" "0" "0.330767"
"scaffold_6.84" "scaffold_6" "1.4618805" "rearranged" "conserved" "11" "190" "2" "1.35345948657647e-06" "0" "0" "0" "0" "0" "121" "0" "0" "0" "0.31978"
"scaffold_6.85" "scaffold_6" "1.561878" "rearranged" "conserved" "4" "213" "5" "1.35345948657647e-06" "1" "0" "1" "1" "0" "129" "0" "0" "0" "0.318266"
"scaffold_6.86" "scaffold_6" "1.6618755" "rearranged" "conserved" "4" "210" "9" "1.35345948657647e-06" "0" "0" "0" "1" "1" "121" "0" "0" "0" "0.316129"
"scaffold_6.87" "scaffold_6" "1.7618725" "rearranged" "conserved" "8" "192" "8" "3.1661763781519e-06" "6" "1" "0" "1" "0" "92" "0" "0" "0" "0.33796"
"scaffold_6.88" "scaffold_6" "1.86187" "rearranged" "conserved" "10" "152" "9" "2.72215451321594e-05" "5" "0" "1" "0" "0" "82" "0" "0" "0" "0.355927"
"scaffold_6.89" "scaffold_6" "1.9618675" "rearranged" "conserved" "7" "159" "11" "2.86982964231957e-05" "1" "1" "0" "0" "0" "91" "0" "0" "0" "0.32738"
"scaffold_6.90" "scaffold_6" "2.061865" "rearranged" "rearranged" "4" "193" "14" "2.86982964231957e-05" "5" "2" "0" "0" "0" "116" "0" "0" "0" "0.317606"
"scaffold_6.91" "scaffold_6" "2.1618625" "rearranged" "conserved" "5" "184" "14" "2.02799874909264e-05" "6" "2" "0" "0" "0" "101" "0" "0" "0" "0.31818"
"scaffold_6.92" "scaffold_6" "2.26186" "rearranged" "conserved" "10" "163" "9" "1.76875086622818e-06" "1" "1" "0" "0" "1" "94" "0" "0" "0" "0.336227"
"scaffold_6.93" "scaffold_6" "2.3618575" "rearranged" "conserved" "13" "155" "10" "1.76875086622818e-06" "6" "2" "0" "0" "2" "77" "0" "0" "0" "0.355761"
"scaffold_6.94" "scaffold_6" "2.4618545" "rearranged" "conserved" "6" "222" "2" "1.76875086622818e-06" "0" "0" "0" "1" "0" "115" "0" "0" "0" "0.32079"
"scaffold_6.95" "scaffold_6" "2.561852" "rearranged" "conserved" "7" "142" "24" "1.76875086622818e-06" "8" "3" "0" "2" "0" "61" "0" "0" "0" "0.338977"
"scaffold_6.96" "scaffold_6" "2.6618495" "rearranged" "conserved" "6" "163" "17" "1.76875086622818e-06" "2" "2" "0" "1" "0" "95" "1" "0" "0" "0.3324"
"scaffold_6.97" "scaffold_6" "2.761847" "rearranged" "conserved" "13" "139" "17" "6.35929024462804e-06" "5" "2" "1" "2" "0" "83" "0" "0" "0" "0.340597"
"scaffold_6.98" "scaffold_6" "2.8618445" "rearranged" "conserved" "10" "186" "14" "1.65167367879295e-05" "2" "2" "0" "1" "0" "88" "0" "0" "0" "0.32392"
"scaffold_6.99" "scaffold_6" "2.961842" "rearranged" "conserved" "5" "206" "7" "1.65167367879295e-05" "0" "0" "0" "0" "0" "101" "0" "0" "0" "0.317246"
"scaffold_6.100" "scaffold_6" "3.0618395" "rearranged" "conserved" "7" "206" "8" "1.65167367879295e-05" "0" "0" "0" "1" "0" "98" "0" "0" "0" "0.3372"
"scaffold_6.101" "scaffold_6" "3.1618365" "rearranged" "conserved" "4" "129" "5" "1.65167367879295e-05" "0" "0" "0" "1" "0" "70" "0" "1" "1" "0.33952"
"scaffold_6.102" "scaffold_6" "3.261834" "rearranged" "conserved" "9" "123" "41" "1.20845198713693e-05" "15" "4" "4" "0" "0" "58" "0" "0" "0" "0.359637"
"scaffold_6.103" "scaffold_6" "3.3618315" "rearranged" "conserved" "13" "140" "15" "9.82636830225843e-06" "2" "1" "1" "0" "0" "75" "0" "0" "0" "0.32801"
"scaffold_6.104" "scaffold_6" "3.461829" "rearranged" "conserved" "6" "206" "7" "9.82636830225843e-06" "1" "1" "0" "0" "0" "100" "0" "0" "0" "0.324696"
"scaffold_6.105" "scaffold_6" "3.5618265" "rearranged" "conserved" "8" "187" "10" "9.82636830225843e-06" "0" "0" "0" "0" "0" "102" "0" "0" "0" "0.32455"
"scaffold_6.106" "scaffold_6" "3.661824" "rearranged" "conserved" "8" "170" "8" "9.82636830225843e-06" "0" "0" "0" "0" "1" "74" "0" "0" "0" "0.337127"
"scaffold_6.107" "scaffold_6" "3.7618215" "rearranged" "conserved" "9" "155" "9" "9.82636830225843e-06" "2" "1" "1" "0" "0" "69" "1" "0" "0" "0.34454"
"scaffold_6.108" "scaffold_6" "3.8618185" "rearranged" "conserved" "11" "137" "18" "9.82636830225843e-06" "1" "1" "0" "2" "0" "53" "0" "0" "0" "0.33832"
"scaffold_6.109" "scaffold_6" "3.961816" "rearranged" "conserved" "4" "167" "10" "9.82636830225843e-06" "1" "1" "0" "1" "0" "106" "0" "1" "1" "0.345287"
"scaffold_6.110" "scaffold_6" "4.0618135" "rearranged" "conserved" "10" "206" "5" "9.82636830225843e-06" "0" "0" "0" "0" "0" "134" "0" "0" "0" "0.32153"
"scaffold_6.111" "scaffold_6" "4.161811" "rearranged" "conserved" "16" "194" "4" "2.42216167429174e-05" "6" "1" "0" "0" "0" "116" "0" "0" "0" "0.329197"
"scaffold_6.112" "scaffold_6" "4.2618085" "rearranged" "conserved" "11" "179" "0" "2.45182534315544e-05" "0" "0" "0" "0" "0" "106" "0" "0" "0" "0.32716"
"scaffold_6.113" "scaffold_6" "4.361806" "rearranged" "conserved" "11" "201" "1" "3.6525532244801e-05" "0" "0" "0" "0" "0" "112" "0" "0" "0" "0.324786"
"scaffold_6.114" "scaffold_6" "4.4618035" "rearranged" "conserved" "10" "224" "11" "3.56806852715749e-05" "3" "1" "0" "0" "1" "115" "0" "0" "0" "0.33214"
"scaffold_6.115" "scaffold_6" "4.5618005" "rearranged" "conserved" "8" "216" "3" "4.70206755301711e-05" "0" "0" "0" "1" "0" "136" "0" "0" "0" "0.32174"
"scaffold_6.116" "scaffold_6" "4.661798" "rearranged" "conserved" "9" "244" "3" "4.51373797306718e-05" "0" "0" "0" "0" "1" "151" "0" "0" "0" "0.322146"
"scaffold_6.117" "scaffold_6" "4.7617955" "rearranged" "conserved" "16" "166" "3" "4.51373797306718e-05" "0" "0" "0" "0" "0" "84" "0" "0" "0" "0.34415"
"scaffold_6.118" "scaffold_6" "4.861793" "rearranged" "conserved" "10" "249" "1" "3.8835787613788e-05" "0" "0" "0" "0" "0" "167" "0" "0" "0" "0.320276"
"scaffold_6.119" "scaffold_6" "4.9617905" "rearranged" "conserved" "10" "220" "0" "4.03176354505953e-05" "0" "0" "0" "0" "0" "130" "0" "0" "0" "0.32165"
"scaffold_6.120" "scaffold_6" "5.0617875" "rearranged" "conserved" "6" "252" "3" "5.49918814925722e-05" "0" "0" "0" "2" "0" "164" "0" "0" "0" "0.311619"
"scaffold_6.121" "scaffold_6" "5.161785" "rearranged" "conserved" "15" "176" "21" "5.49918814925722e-05" "7" "3" "0" "0" "0" "95" "1" "0" "0" "0.361197"
"scaffold_6.122" "scaffold_6" "5.2617825" "rearranged" "conserved" "15" "184" "4" "5.49918814925722e-05" "0" "0" "0" "0" "0" "105" "0" "0" "0" "0.34316"
"scaffold_6.123" "scaffold_6" "5.36178" "rearranged" "conserved" "18" "166" "3" "5.49918814925722e-05" "0" "0" "0" "1" "1" "89" "0" "0" "0" "0.342177"
"scaffold_6.124" "scaffold_6" "5.4617775" "rearranged" "conserved" "16" "167" "10" "5.49918814925722e-05" "5" "1" "0" "1" "0" "96" "0" "0" "0" "0.33506"
"scaffold_6.125" "scaffold_6" "5.561775" "rearranged" "conserved" "9" "196" "5" "5.59502754475067e-05" "0" "0" "0" "1" "0" "107" "0" "0" "0" "0.329777"
"scaffold_6.126" "scaffold_6" "5.6617725" "rearranged" "conserved" "8" "162" "18" "9.74623576844563e-05" "4" "2" "0" "1" "0" "76" "1" "0" "0" "0.34817"
"scaffold_6.127" "scaffold_6" "5.7617695" "rearranged" "conserved" "9" "160" "4" "5.39269532175781e-05" "0" "0" "0" "0" "3" "78" "0" "1" "1" "0.351711"
"scaffold_6.128" "scaffold_6" "5.861767" "rearranged" "conserved" "5" "136" "18" "1.54680968789915e-05" "2" "1" "1" "3" "0" "78" "0" "0" "0" "0.348967"
"scaffold_6.129" "scaffold_6" "5.9617645" "rearranged" "conserved" "7" "230" "7" "1.54680968789915e-05" "0" "0" "0" "2" "0" "126" "0" "0" "0" "0.32517"
"scaffold_6.130" "scaffold_6" "6.061762" "rearranged" "conserved" "10" "209" "8" "1.54680968789915e-05" "1" "1" "0" "0" "0" "116" "0" "0" "0" "0.322566"
"scaffold_6.131" "scaffold_6" "6.1617595" "rearranged" "conserved" "4" "213" "10" "1.54680968789915e-05" "1" "1" "0" "1" "0" "122" "0" "0" "0" "0.32565"
"scaffold_6.132" "scaffold_6" "6.261757" "rearranged" "conserved" "6" "188" "6" "1.28209076257806e-05" "3" "1" "0" "0" "0" "103" "0" "0" "0" "0.327007"
"scaffold_6.133" "scaffold_6" "6.3617545" "rearranged" "conserved" "9" "149" "23" NA "6" "4" "0" "0" "0" "81" "0" "0" "0" "0.34497"
"scaffold_6.134" "scaffold_6" "6.4617515" "rearranged" "conserved" "5" "222" "7" NA "0" "0" "0" "0" "0" "127" "1" "0" "0" "0.312399"
"scaffold_6.135" "scaffold_6" "6.561749" "rearranged" "conserved" "9" "145" "33" NA "5" "3" "0" "1" "1" "51" "0" "0" "0" "0.353837"
"scaffold_6.136" "scaffold_6" "6.6617465" "rearranged" "conserved" "11" "170" "12" NA "3" "1" "0" "0" "0" "93" "0" "0" "0" "0.33744"
"scaffold_6.137" "scaffold_6" "6.761744" "rearranged" "conserved" "6" "119" "21" NA "4" "2" "2" "1" "0" "70" "0" "0" "0" "0.368387"
"scaffold_6.138" "scaffold_6" "6.8617415" "rearranged" "conserved" "1" "109" "11" NA "5" "0" "1" "0" "0" "55" "0" "3" "3" "0.348"
"scaffold_7" "scaffold_7" "6.7758575" "conserved" "conserved" "2" "85" "24" NA "8" "3" "0" "0" "0" "50" "0" "2" "2" "0.349439"
"scaffold_7.1" "scaffold_7" "6.6873835" "conserved" "conserved" "15" "203" "10" NA "4" "1" "0" "1" "0" "63" "0" "0" "0" "0.355531"
"scaffold_7.2" "scaffold_7" "6.5873865" "conserved" "conserved" "8" "208" "6" NA "0" "0" "0" "1" "0" "79" "0" "0" "0" "0.3335"
"scaffold_7.3" "scaffold_7" "6.487389" "conserved" "conserved" "14" "211" "11" NA "2" "2" "0" "1" "0" "91" "0" "0" "0" "0.339077"
"scaffold_7.4" "scaffold_7" "6.3873915" "conserved" "conserved" "9" "240" "10" NA "4" "1" "0" "1" "1" "108" "0" "0" "0" "0.33749"
"scaffold_7.5" "scaffold_7" "6.287394" "conserved" "conserved" "12" "243" "19" NA "7" "2" "0" "1" "0" "126" "0" "0" "0" "0.320716"
"scaffold_7.6" "scaffold_7" "6.1873965" "conserved" "conserved" "6" "177" "13" NA "3" "1" "2" "1" "0" "86" "0" "0" "0" "0.3386"
"scaffold_7.7" "scaffold_7" "6.087399" "conserved" "conserved" "17" "161" "3" NA "1" "1" "0" "0" "0" "82" "0" "0" "0" "0.341277"
"scaffold_7.8" "scaffold_7" "5.9874015" "conserved" "conserved" "15" "135" "19" "9.18452338722089e-06" "5" "3" "0" "1" "0" "77" "0" "0" "0" "0.34541"
"scaffold_7.9" "scaffold_7" "5.8874045" "conserved" "conserved" "7" "185" "15" "1.74461281375905e-05" "8" "3" "0" "0" "1" "96" "0" "0" "0" "0.33598"
"scaffold_7.10" "scaffold_7" "5.787407" "conserved" "conserved" "7" "171" "15" "1.74461281375905e-05" "7" "1" "1" "0" "0" "102" "0" "1" "1" "0.342317"
"scaffold_7.11" "scaffold_7" "5.6874095" "conserved" "conserved" "6" "155" "24" "1.74461281375905e-05" "11" "4" "0" "1" "0" "82" "0" "0" "0" "0.34603"
"scaffold_7.12" "scaffold_7" "5.587412" "conserved" "conserved" "5" "227" "7" "1.74461281375905e-05" "4" "0" "1" "0" "0" "145" "0" "0" "0" "0.316926"
"scaffold_7.13" "scaffold_7" "5.4874145" "conserved" "conserved" "12" "281" "7" "1.74461281375905e-05" "2" "1" "0" "1" "0" "180" "0" "0" "0" "0.3319"
"scaffold_7.14" "scaffold_7" "5.387417" "conserved" "conserved" "14" "197" "17" "1.74461281375905e-05" "8" "2" "2" "0" "0" "107" "1" "0" "0" "0.329157"
"scaffold_7.15" "scaffold_7" "5.2874195" "conserved" "conserved" "5" "172" "5" "1.74461281375905e-05" "0" "0" "0" "1" "0" "89" "0" "0" "0" "0.32468"
"scaffold_7.16" "scaffold_7" "5.1874225" "conserved" "conserved" "6" "192" "11" "1.74461281375905e-05" "1" "0" "1" "0" "1" "98" "0" "0" "0" "0.33239"
"scaffold_7.17" "scaffold_7" "5.087425" "conserved" "conserved" "5" "122" "8" "2.12888134806119e-05" "1" "1" "0" "2" "0" "68" "0" "0" "0" "0.343057"
"scaffold_7.18" "scaffold_7" "4.9874275" "conserved" "conserved" "10" "175" "14" "2.32566109866615e-05" "6" "1" "1" "0" "0" "89" "0" "0" "0" "0.34363"
"scaffold_7.19" "scaffold_7" "4.88743" "conserved" "conserved" "14" "174" "7" "2.32566109866615e-05" "6" "1" "0" "0" "0" "92" "0" "0" "0" "0.339027"
"scaffold_7.20" "scaffold_7" "4.7874325" "conserved" "conserved" "8" "208" "12" "2.32566109866615e-05" "4" "1" "0" "1" "0" "116" "0" "0" "0" "0.32879"
"scaffold_7.21" "scaffold_7" "4.6874355" "conserved" "conserved" "9" "192" "7" "2.31996642374583e-05" "1" "0" "1" "0" "0" "107" "0" "0" "0" "0.3496"
"scaffold_7.22" "scaffold_7" "4.587438" "conserved" "conserved" "9" "192" "2" "2.09972350524626e-05" "0" "0" "0" "0" "0" "113" "0" "0" "0" "0.317466"
"scaffold_7.23" "scaffold_7" "4.4874405" "conserved" "conserved" "7" "218" "26" "2.09972350524626e-05" "9" "4" "0" "0" "0" "118" "0" "0" "0" "0.32966"
"scaffold_7.24" "scaffold_7" "4.387443" "conserved" "conserved" "10" "200" "24" "2.09972350524626e-05" "12" "3" "1" "0" "1" "119" "0" "0" "0" "0.336867"
"scaffold_7.25" "scaffold_7" "4.2874455" "conserved" "conserved" "13" "197" "12" "2.09972350524626e-05" "6" "1" "0" "0" "2" "113" "0" "0" "0" "0.33052"
"scaffold_7.26" "scaffold_7" "4.187448" "conserved" "conserved" "12" "196" "3" "2.77280587078077e-05" "0" "0" "0" "2" "0" "110" "0" "0" "0" "0.330677"
"scaffold_7.27" "scaffold_7" "4.0874505" "conserved" "conserved" "19" "194" "9" "2.93528153854369e-05" "2" "2" "0" "1" "0" "98" "0" "0" "0" "0.32848"
"scaffold_7.28" "scaffold_7" "3.9874535" "conserved" "conserved" "7" "144" "27" "1.23330969078836e-05" "15" "5" "0" "1" "1" "78" "0" "0" "0" "0.34214"
"scaffold_7.29" "scaffold_7" "3.887456" "conserved" "conserved" "14" "201" "18" "5.20123647200832e-06" "3" "3" "0" "0" "0" "126" "0" "0" "0" "0.333727"
"scaffold_7.30" "scaffold_7" "3.7874585" "conserved" "conserved" "10" "220" "8" "9.60610053618798e-06" "2" "2" "0" "0" "0" "139" "0" "0" "0" "0.33335"
"scaffold_7.31" "scaffold_7" "3.687461" "conserved" "conserved" "6" "267" "0" "9.60610053618798e-06" "0" "0" "0" "0" "0" "180" "1" "0" "0" "0.305756"
"scaffold_7.32" "scaffold_7" "3.5874635" "conserved" "conserved" "10" "191" "13" "9.60610053618798e-06" "7" "1" "1" "0" "1" "111" "0" "0" "0" "0.33743"
"scaffold_7.33" "scaffold_7" "3.487466" "conserved" "conserved" "9" "164" "9" "9.60610053618798e-06" "4" "1" "0" "1" "0" "92" "0" "0" "0" "0.342047"
"scaffold_7.34" "scaffold_7" "3.3874685" "conserved" "conserved" "15" "233" "7" "9.60610053618798e-06" "0" "0" "0" "0" "0" "128" "1" "0" "0" "0.3221"
"scaffold_7.35" "scaffold_7" "3.2874715" "conserved" "conserved" "3" "127" "8" "9.60610053618798e-06" "2" "2" "0" "2" "0" "55" "0" "0" "0" "0.354191"
"scaffold_7.36" "scaffold_7" "3.187474" "conserved" "conserved" "8" "190" "6" "2.57030930702076e-05" "2" "1" "1" "0" "2" "86" "0" "0" "0" "0.340337"
"scaffold_7.37" "scaffold_7" "3.0874765" "conserved" "conserved" "5" "120" "11" "3.43775971730185e-05" "4" "4" "0" "0" "0" "68" "0" "1" "1" "0.34702"
"scaffold_7.38" "scaffold_7" "2.987479" "conserved" "conserved" "5" "238" "0" "3.43775971730185e-05" "0" "0" "0" "0" "0" "166" "0" "0" "0" "0.319416"
"scaffold_7.39" "scaffold_7" "2.8874815" "conserved" "conserved" "13" "161" "20" "2.81225522663881e-05" "6" "3" "0" "0" "0" "90" "0" "0" "0" "0.34007"
"scaffold_7.40" "scaffold_7" "2.787484" "conserved" "conserved" "6" "172" "13" "1.29226897488123e-05" "5" "3" "0" "0" "0" "101" "0" "0" "0" "0.329427"
"scaffold_7.41" "scaffold_7" "2.6874865" "conserved" "conserved" "5" "148" "22" "1.29226897488123e-05" "9" "3" "0" "0" "1" "83" "0" "0" "0" "0.349851"
"scaffold_7.42" "scaffold_7" "2.5874895" "conserved" "conserved" "10" "143" "7" "1.29226897488123e-05" "6" "1" "0" "1" "0" "84" "0" "0" "0" "0.32716"
"scaffold_7.43" "scaffold_7" "2.487492" "conserved" "conserved" "13" "187" "1" "1.29226897488123e-05" "0" "0" "0" "0" "0" "117" "0" "0" "0" "0.325476"
"scaffold_7.44" "scaffold_7" "2.3874945" "conserved" "conserved" "12" "238" "12" "1.62232055033856e-05" "2" "2" "0" "0" "0" "130" "0" "0" "0" "0.32702"
"scaffold_7.45" "scaffold_7" "2.287497" "conserved" "conserved" "6" "195" "9" "3.30519443414517e-05" "0" "0" "0" "1" "0" "127" "0" "0" "0" "0.330707"
"scaffold_7.46" "scaffold_7" "2.1874995" "conserved" "conserved" "7" "116" "8" "2.27316370253217e-05" "6" "1" "1" "0" "0" "76" "0" "0" "0" "0.364741"
"scaffold_7.47" "scaffold_7" "2.087502" "conserved" "conserved" "4" "186" "11" "2.7413365620965e-06" "1" "1" "0" "0" "0" "106" "0" "0" "0" "0.323486"
"scaffold_7.48" "scaffold_7" "1.9875045" "conserved" "conserved" "9" "194" "9" "2.7413365620965e-06" "1" "0" "1" "2" "0" "106" "0" "0" "0" "0.34562"
"scaffold_7.49" "scaffold_7" "1.8875075" "conserved" "conserved" "10" "170" "4" "2.7413365620965e-06" "1" "1" "0" "0" "0" "94" "0" "0" "0" "0.32045"
"scaffold_7.50" "scaffold_7" "1.78751" "conserved" "conserved" "8" "242" "2" "2.7413365620965e-06" "0" "0" "0" "0" "0" "168" "0" "0" "0" "0.315216"
"scaffold_7.51" "scaffold_7" "1.6875125" "conserved" "conserved" "9" "222" "20" "2.7413365620965e-06" "6" "3" "0" "0" "1" "112" "0" "0" "0" "0.3311"
"scaffold_7.52" "scaffold_7" "1.587515" "conserved" "conserved" "5" "185" "16" "2.7413365620965e-06" "10" "3" "0" "0" "0" "98" "0" "0" "0" "0.323726"
"scaffold_7.53" "scaffold_7" "1.4875175" "conserved" "conserved" "12" "178" "26" "2.7413365620965e-06" "7" "3" "2" "0" "0" "100" "0" "0" "0" "0.33981"
"scaffold_7.54" "scaffold_7" "1.38752" "conserved" "conserved" "14" "183" "11" "2.7413365620965e-06" "1" "1" "0" "0" "0" "91" "0" "0" "0" "0.331407"
"scaffold_7.55" "scaffold_7" "1.2875225" "conserved" "conserved" "10" "238" "3" "2.7413365620965e-06" "0" "0" "0" "0" "0" "149" "0" "0" "0" "0.32688"
"scaffold_7.56" "scaffold_7" "1.1875255" "conserved" "conserved" "8" "179" "7" "2.7413365620965e-06" "1" "0" "1" "2" "0" "101" "0" "0" "0" "0.34979"
"scaffold_7.57" "scaffold_7" "1.087528" "conserved" "conserved" "2" "100" "24" "2.7413365620965e-06" "11" "2" "2" "0" "0" "53" "0" "0" "0" "0.366857"
"scaffold_7.58" "scaffold_7" "0.9875305" "conserved" "conserved" "4" "86" "40" "2.7413365620965e-06" "25" "3" "4" "1" "0" "28" "0" "0" "0" "0.377591"
"scaffold_7.59" "scaffold_7" "0.887533" "conserved" "conserved" "18" "156" "17" "2.7413365620965e-06" "6" "1" "1" "0" "1" "51" "0" "0" "0" "0.362947"
"scaffold_7.60" "scaffold_7" "0.7875355" "conserved" "conserved" "19" "188" "4" "2.7413365620965e-06" "0" "0" "0" "0" "0" "54" "0" "0" "0" "0.355491"
"scaffold_7.61" "scaffold_7" "0.687538" "conserved" "conserved" "17" "154" "7" "2.7413365620965e-06" "4" "1" "0" "1" "0" "52" "0" "0" "0" "0.344937"
"scaffold_7.62" "scaffold_7" "0.5875405" "conserved" "conserved" "12" "196" "7" "2.7413365620965e-06" "1" "1" "0" "0" "0" "91" "0" "0" "0" "0.33252"
"scaffold_7.63" "scaffold_7" "0.4875435" "conserved" "conserved" "15" "212" "11" "2.7413365620965e-06" "2" "2" "0" "0" "1" "110" "0" "0" "0" "0.32895"
"scaffold_7.64" "scaffold_7" "0.387546" "conserved" "conserved" "11" "200" "10" "2.7413365620965e-06" "2" "0" "2" "0" "0" "105" "0" "0" "0" "0.340917"
"scaffold_7.65" "scaffold_7" "0.2875485" "conserved" "conserved" "10" "133" "9" "2.7413365620965e-06" "2" "0" "2" "0" "0" "65" "0" "0" "0" "0.356511"
"scaffold_7.66" "scaffold_7" "0.187551" "conserved" "conserved" "16" "171" "4" "7.48243401111733e-06" "1" "0" "1" "0" "0" "89" "0" "0" "0" "0.334397"
"scaffold_7.67" "scaffold_7" "0.0875535" "conserved" "conserved" "10" "169" "13" "1.23618625590833e-05" "2" "0" "2" "3" "0" "108" "0" "0" "0" "0.33726"
"scaffold_7.68" "scaffold_7" "0.0124435" "conserved" "conserved" "15" "181" "3" "6.25592622676867e-06" "0" "0" "0" "0" "1" "94" "0" "0" "0" "0.3333"
"scaffold_7.69" "scaffold_7" "0.112441" "conserved" "conserved" "11" "209" "6" "4.30562853900339e-06" "0" "0" "0" "1" "1" "110" "0" "0" "0" "0.326557"
"scaffold_7.70" "scaffold_7" "0.2124385" "conserved" "conserved" "3" "98" "2" "4.30562853900339e-06" "0" "0" "0" "1" "0" "61" "0" "0" "0" "0.34274"
"scaffold_7.71" "scaffold_7" "0.312436" "conserved" "conserved" "11" "168" "7" "4.30562853900339e-06" "1" "1" "0" "0" "2" "97" "0" "0" "0" "0.336017"
"scaffold_7.72" "scaffold_7" "0.4124335" "conserved" "conserved" "8" "209" "17" "4.30562853900339e-06" "5" "3" "0" "0" "0" "115" "1" "0" "0" "0.33996"
"scaffold_7.73" "scaffold_7" "0.512431" "conserved" "conserved" "9" "171" "12" "4.30562853900339e-06" "2" "2" "0" "0" "0" "75" "0" "0" "0" "0.328187"
"scaffold_7.74" "scaffold_7" "0.6124285" "conserved" "conserved" "8" "182" "11" "4.30562853900339e-06" "1" "1" "0" "0" "0" "86" "0" "0" "0" "0.32896"
"scaffold_7.75" "scaffold_7" "0.7124255" "conserved" "conserved" "10" "201" "4" "7.08475478555379e-06" "0" "0" "0" "0" "0" "120" "0" "0" "0" "0.32266"
"scaffold_7.76" "scaffold_7" "0.812423" "conserved" "conserved" "8" "216" "6" "8.3506862602134e-05" "0" "0" "0" "2" "0" "123" "0" "0" "0" "0.335787"
"scaffold_7.77" "scaffold_7" "0.9124205" "conserved" "conserved" "11" "217" "9" "6.15649881461789e-05" "3" "1" "0" "0" "0" "123" "0" "0" "0" "0.34291"
"scaffold_7.78" "scaffold_7" "1.012418" "conserved" "conserved" "2" "268" "6" "3.59802372141154e-05" "0" "0" "0" "0" "0" "184" "0" "0" "0" "0.300116"
"scaffold_7.79" "scaffold_7" "1.1124155" "conserved" "conserved" "15" "182" "26" "3.77853760707442e-05" "19" "3" "1" "0" "0" "115" "0" "0" "0" "0.353391"
"scaffold_7.80" "scaffold_7" "1.212413" "conserved" "conserved" "10" "180" "19" "3.94364700244171e-05" "5" "3" "0" "1" "0" "93" "0" "0" "0" "0.344797"
"scaffold_7.81" "scaffold_7" "1.3124105" "conserved" "conserved" "10" "168" "14" "1.92405623182378e-05" "3" "3" "0" "2" "0" "81" "0" "0" "0" "0.33957"
"scaffold_7.82" "scaffold_7" "1.4124075" "conserved" "conserved" "8" "113" "13" "4.6776022744762e-06" "3" "2" "1" "2" "0" "56" "0" "1" "1" "0.356431"
"scaffold_7.83" "scaffold_7" "1.512405" "conserved" "conserved" "6" "162" "26" "4.6776022744762e-06" "4" "3" "1" "3" "0" "78" "0" "0" "0" "0.347427"
"scaffold_7.84" "scaffold_7" "1.6124025" "conserved" "conserved" "13" "185" "10" "1.63546663765715e-05" "1" "1" "0" "1" "1" "113" "0" "0" "0" "0.33351"
